statement_id,Link,Publication Date,Entities,Annual Revenue,Industry Sectors,Countries
70,https://modernslaveryregister.gov.au/statements/70/,5/07/2021 9:02,"['NETRATINGS AUSTRALIA PTY LIMITED (47 081 796 287), NIELSEN CONNECT AUSTRALIA PTY LTD (97 638 234 474), NIELSEN SPORTS PTY LTD (59 106 863 325), NIELSEN TELEVISION AUDIENCE MEASUREMENT PTY LTD (57 089 686 500), THE NIELSEN COMPANY (AUSTRALIA) PTY LTD (35 008 417 874)']",1BN+,"['Media, publishing, arts and entertainment\nInformation technology and telecommunication']",['United States of America']
74,https://modernslaveryregister.gov.au/statements/74/,26/11/2020 17:47,['BRADKEN PTY LIMITED (33 108 693 009)'],800-900M,['Other'],['Australia']
77,https://modernslaveryregister.gov.au/statements/77/,26/11/2020 17:50,['GWA GROUP LIMITED (15 055 964 380)'],350-400M,"['Construction, civil engineering and building products']",['Australia']
79,https://modernslaveryregister.gov.au/statements/79/,26/11/2020 17:38,['NEC AUSTRALIA PTY LTD (86 001 217 527)'],350-400M,['Information technology and telecommunication'],['Australia']
83,https://modernslaveryregister.gov.au/statements/83/,26/11/2020 17:50,['DEXUS FUNDS MANAGEMENT LIMITED (24 060 920 783)'],1BN+,"['Financial, insurance and real estate activities']",['Australia']
88,https://modernslaveryregister.gov.au/statements/88/,26/11/2020 17:47,['Origin Energy Limited'],1BN+,"['Utilities: gas, water and electricity']",['Australia']
95,https://modernslaveryregister.gov.au/statements/95/,26/11/2020 17:32,"['ASX CLEAR (FUTURES) PTY LIMITED (91 050 615 864), ASX CLEARING CORPORATION PTY LIMITED (45 087 801 554), ASX LIMITED (98 008 624 691), ASX OPERATIONS PTY. LTD. (42 004 523 782)']",1BN+,"['Financial, insurance and real estate activities\nOther']",['Australia']
97,https://modernslaveryregister.gov.au/statements/97/,26/11/2020 17:32,"[""NANDO'S AUSTRALIA PTY LTD (20 079 066 407), NANDO'S PERI-PERI AUSTRALIA PTY LTD (86 627 885 956)""]",Unknown,"['Food and beverages, agriculture and fishing\nConsumer services, including accommodation, hospitality, tourism and leisure']",['Australia']
103,https://modernslaveryregister.gov.au/statements/103/,26/11/2020 17:39,['STOCKLAND CORPORATION LTD (43 000 181 733)'],1BN+,"['Financial, insurance and real estate activities']",['Australia']
106,https://modernslaveryregister.gov.au/statements/106/,26/11/2020 17:35,['DOMAIN HOLDINGS AUSTRALIA LIMITED (43 094 154 364)'],250-300M,"['Media, publishing, arts and entertainment\nInformation technology and telecommunication\nFinancial, insurance and real estate activities']",['Australia']
113,https://modernslaveryregister.gov.au/statements/113/,26/11/2020 17:41,['AVG TECHNOLOGIES AU PTY LTD (79 159 743 978)'],800-900M,['Information technology and telecommunication'],"['Czech Republic, United Kingdom']"
115,https://modernslaveryregister.gov.au/statements/115/,22/12/2020 16:57,['CONCIERGE CONTACTS PTY. LTD. (53 149 081 756)'],0-99M,"['Fashion, textiles, apparel and luxury goods\nOther']",['Australia']
120,https://modernslaveryregister.gov.au/statements/120/,26/11/2020 17:42,"['BSR Australia Limited (84 122 529 695), BSR Franchising Pty Ltd (21 122 556 094)']",100-150M,"['Durable consumer goods, including electronics and appliances, home furnishings and other accessories']",['Australia']
123,https://modernslaveryregister.gov.au/statements/123/,26/11/2020 17:43,['MITSUBISHI AUSTRALIA LIMITED (81 004 354 278)'],Unknown,"['Mining, metals, chemicals and resources (including oil and gas)\nTransportation, logistics, and storage']",['Japan']
126,https://modernslaveryregister.gov.au/statements/126/,26/11/2020 17:39,"['BLIGH RESOURCES LIMITED (83 130 964 162), KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD (97 009 377 619), SARACEN GOLDFIELDS PTY LTD (44 637 156 579), SARACEN GOLD MINES PTY LIMITED (14 116 649 122), SARACEN KALGOORLIE PTY LIMITED (19 008 143 137), SARACEN METALS PTY LIMITED (15 107 154 727), SARACEN MINERAL HOLDINGS LIMITED (52 009 215 347), SARACEN NICKEL PTY LTD (57 635 649 606), S R Mining Pty Ltd (91 151 605 417), TALISMAN NICKEL PTY LTD (42 601 140 185)']",1BN+,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
134,https://modernslaveryregister.gov.au/statements/134/,26/11/2020 17:40,"['DENDROBIUM COAL PTY LTD (85 098 744 088), ENDEAVOUR COAL PTY LIMITED (38 099 830 476), GROOTE EYLANDT MINING COMPANY PROPRIETARY LIMITED (26 004 618 491), ILLAWARRA COAL HOLDINGS PTY LTD (69 093 857 286), SOUTH32 ALUMINIUM (RAA) PTY LTD (54 095 831 119), SOUTH32 ALUMINIUM (WORSLEY) PTY LTD (33 088 336 921), SOUTH32 CANNINGTON PROPRIETARY LIMITED (48 125 530 967), SOUTH32 LIMITED (84 093 732 597), TASMANIAN ELECTRO METALLURGICAL COMPANY PROPRIETARY LIMITED (23 004 456 035)']",1BN+,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
139,https://modernslaveryregister.gov.au/statements/139/,26/11/2020 17:31,['EGO PHARMACEUTICALS PTY LTD (86 005 142 361)'],150-200M,['Healthcare and pharmaceuticals'],['Australia']
142,https://modernslaveryregister.gov.au/statements/142/,26/11/2020 17:35,['GHD PTY LTD (39 008 488 373)'],1BN+,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
144,https://modernslaveryregister.gov.au/statements/144/,26/11/2020 17:53,['NINE ENTERTAINMENT CO. HOLDINGS LIMITED (60 122 203 892)'],1BN+,"['Media, publishing, arts and entertainment']",['Australia']
145,https://modernslaveryregister.gov.au/statements/145/,26/11/2020 17:52,['HAMMONDCARE (48 000 026 219)'],300-350M,['Education and research\nHealthcare and pharmaceuticals\nCharitable / not-for-profit activities\nOther'],['Australia']
154,https://modernslaveryregister.gov.au/statements/154/,26/11/2020 17:28,"['ENDEAVOUR GROUP LIMITED (77 159 767 843), WOOLWORTHS GROUP LIMITED (88 000 014 675)']",1BN+,"['Food and beverages, agriculture and fishing\nOther']",['Australia']
156,https://modernslaveryregister.gov.au/statements/156/,26/11/2020 17:31,['BHP GROUP LIMITED (49 004 028 077)'],1BN+,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
163,https://modernslaveryregister.gov.au/statements/163/,26/11/2020 17:43,['ANRITSU CORPORATION'],1BN+,['Information technology and telecommunication'],['Japan']
168,https://modernslaveryregister.gov.au/statements/168/,26/11/2020 17:43,"['CSR BUILDING PRODUCTS LIMITED (55 008 631 356), CSR LIMITED (90 000 001 276), GOVE ALUMINIUM FINANCE LTD (45 001 860 073), PGH BRICKS & PAVERS PTY LIMITED (68 168 794 821)']",1BN+,"['Construction, civil engineering and building products']",['Australia']
169,https://modernslaveryregister.gov.au/statements/169/,22/12/2020 16:46,['GEOFABRICS AUSTRALASIA PTY. LTD. (23 005 479 961)'],100-150M,['Other'],['Australia']
172,https://modernslaveryregister.gov.au/statements/172/,26/11/2020 17:49,['ASTELLAS PHARMA AUSTRALIA PTY LTD (81 147 915 482)'],100-150M,['Healthcare and pharmaceuticals'],['Australia']
179,https://modernslaveryregister.gov.au/statements/179/,26/11/2020 17:43,"['BUNNINGS GROUP LIMITED (26 008 672 179), KMART AUSTRALIA LIMITED (73 004 700 485), OFFICEWORKS LTD (36 004 763 526), WESFARMERS CHEMICALS, ENERGY & FERTILISERS LIMITED (48 008 797 402), Wesfarmers Industrial and Safety Pty Ltd (15 137 253 528)']",1BN+,['Other'],['Australia']
181,https://modernslaveryregister.gov.au/statements/181/,26/11/2020 17:45,"['GOODMAN FUNDS MANAGEMENT LIMITED (48 067 796 641), GOODMAN LIMITED (69 000 123 071), Goodman Logistics (HK) Limited']",1BN+,"['Financial, insurance and real estate activities']",['Australia']
193,https://modernslaveryregister.gov.au/statements/193/,26/11/2020 17:37,['AUSENCO LIMITED (31 114 541 114)'],400-450M,"['Mining, metals, chemicals and resources (including oil and gas)\nOther']",['Australia']
205,https://modernslaveryregister.gov.au/statements/205/,27/11/2020 8:49,['KONICA MINOLTA BUSINESS SOLUTIONS AUSTRALIA PTY LTD (50 001 065 096)'],250-300M,['Information technology and telecommunication'],['Australia']
212,https://modernslaveryregister.gov.au/statements/212/,26/11/2020 17:45,['COLES GROUP LIMITED (11 004 089 936)'],1BN+,"['Food and beverages, agriculture and fishing']",['Australia']
216,https://modernslaveryregister.gov.au/statements/216/,26/11/2020 17:50,"['FIRST SENTIER INVESTORS ASIA HOLDINGS LTD (54 054 571 701), FIRST SENTIER INVESTORS (AUSTRALIA) IM LTD (89 114 194 311), FIRST SENTIER INVESTORS (AUSTRALIA) INFRASTRUCTURE HOLDINGS LTD (20 085 313 926), FIRST SENTIER INVESTORS (AUSTRALIA) RE LTD (13 006 464 428), FIRST SENTIER INVESTORS (AUSTRALIA) SERVICES PTY LTD (73 624 305 595), FIRST SENTIER INVESTORS HOLDINGS PTY LTD (49 630 725 558), FIRST SENTIER INVESTORS REALINDEX PTY LTD (24 133 312 017), First State Investments (Hong Kong) Ltd']",1BN+,"['Financial, insurance and real estate activities']",['Australia']
218,https://modernslaveryregister.gov.au/statements/218/,22/12/2020 16:48,"['EnerMech Pty Limited (32 136 435 062), MINTEG PTY LTD (18 166 303 760)']",100-150M,"['Mining, metals, chemicals and resources (including oil and gas)\nConstruction, civil engineering and building products']",['Australia']
219,https://modernslaveryregister.gov.au/statements/219/,26/11/2020 17:39,"['DATACOM AUSTRALIA HOLDINGS PTY LIMITED (45 094 235 373), DATACOM CONNECT PTY LTD (16 103 112 303), DATACOM DATA CENTRES PTY LTD (58 110 978 179), Datacom New Zealand Limited (95 875 120 116), DATACOM SYSTEMS (AU) PTY LTD (39 135 427 075)']",500-600M,['Information technology and telecommunication\nOther'],"['Australia, New Zealand']"
224,https://modernslaveryregister.gov.au/statements/224/,25/02/2021 13:57,"['Macquarie Americas Holdings Pty Ltd (82 124 071 414), MACQUARIE ASSET MANAGEMENT HOLDINGS PTY LIMITED (84 134 474 712), MACQUARIE ASSET MANAGEMENT US HOLDINGS PTY LIMITED (72 637 679 102), MACQUARIE BANK LIMITED (46 008 583 542), Macquarie B.H. Pty Ltd (86 124 071 432), MACQUARIE CAPITAL (AUSTRALIA) LIMITED (79 123 199 548), MACQUARIE CORPORATE AND ASSET FINANCE LIMITED (49 006 198 910), MACQUARIE CORPORATE FINANCE HOLDINGS PTY LIMITED (96 008 606 862), MACQUARIE CORPORATE FINANCE LIMITED (71 008 595 426), MACQUARIE CORPORATE HOLDINGS PTY LIMITED (54 096 705 109), MACQUARIE CORPORATE INTERNATIONAL HOLDINGS PTY LIMITED (24 123 199 253), Macquarie EMG Holdings Pty Limited (27 127 185 719), Macquarie Energy Holdings Pty Ltd (46 122 300 592), MACQUARIE EQUITIES (US) HOLDINGS PTY. LIMITED (98 063 906 392), Macquarie Finance Holdings Limited (89 118 817 440), MACQUARIE FINANCIAL HOLDINGS PTY LIMITED (63 124 071 398), MACQUARIE FINANCIAL HOLDINGS (USA) LLC, MACQUARIE FUNDING HOLDINGS LLC, MACQUARIE FUNDS MANAGEMENT HOLDINGS PTY LIMITED (19 093 177 407), MACQUARIE GROUP LIMITED (94 122 169 279), MACQUARIE GROUP SERVICES AUSTRALIA PTY LTD (53 116 467 031), MACQUARIE GROUP (US) HOLDINGS NO.1 PTY LTD (61 124 071 389), MACQUARIE INFRASTRUCTURE AND REAL ASSETS HOLDINGS PTY LIMITED (95 082 018 399), MACQUARIE INFRASTRUCTURE FUNDS MANAGEMENT PTY LIMITED (54 074 311 390), Macquarie International Investments Pty Limited (28 108 590 996), MACQUARIE INVESTMENT HOLDINGS NO.2 PTY LIMITED (97 112 017 919), MACQUARIE INVESTMENT HOLDINGS PTY LIMITED (18 122 939 600), MACQUARIE INVESTMENT MANAGEMENT AUSTRALIA LIMITED (55 092 552 611), MACQUARIE INVESTMENT MANAGEMENT HOLDINGS PTY LIMITED (76 604 942 127), MACQUARIE INVESTMENT MANAGEMENT LTD (66 002 867 003), MACQUARIE LEASING NSW PTY LTD (67 002 675 032), MACQUARIE LEASING PTY LTD (38 002 674 982), MACQUARIE PRINCIPAL FINANCE PTY LIMITED (39 629 759 600), MACQUARIE SECURITIES (AUSTRALIA) LIMITED (58 002 832 126), MACQUARIE SECURITISATION LIMITED (16 003 297 336), MACQUARIE SERVICES (USA) LLC, MACQUARIE SPECIALISED ASSET MANAGEMENT LTD (71 087 382 965)']",1BN+,"['Financial, insurance and real estate activities']",['Australia']
225,https://modernslaveryregister.gov.au/statements/225/,26/11/2020 17:55,['Baillie Gifford Overseas Limited'],900M-1BN,['Other'],['United Kingdom']
228,https://modernslaveryregister.gov.au/statements/228/,26/11/2020 17:55,['QSR PTY LTD (63 089 163 682)'],150-200M,"['Food and beverages, agriculture and fishing']",['Australia']
230,https://modernslaveryregister.gov.au/statements/230/,26/11/2020 17:41,"['BORAL LIMITED (13 008 421 761), USG BORAL BUILDING PRODUCTS PTY LIMITED (84 004 231 976)']",1BN+,"['Construction, civil engineering and building products']",['Australia']
235,https://modernslaveryregister.gov.au/statements/235/,26/11/2020 17:41,['AUSTRALIAN VINTAGE LTD (78 052 179 932)'],250-300M,"['Food and beverages, agriculture and fishing']",['Australia']
238,https://modernslaveryregister.gov.au/statements/238/,26/11/2020 17:40,"['ADVISIAN PTY LTD (50 098 008 818), ENERGY RESOURCING AUSTRALIA PTY LIMITED (27 076 232 605), INTECSEA PTY LTD (18 008 961 260), WORLEY ECR PTY LTD (95 631 041 195), WORLEY ENGINEERING PTY LIMITED (19 008 876 284), WORLEY LIMITED (17 096 090 158), WORLEYPARSONS FINANCIAL SERVICES PTY LIMITED (34 099 425 831), WORLEY SERVICES PTY LIMITED (61 001 279 812)']",1BN+,"['Mining, metals, chemicals and resources (including oil and gas)\nConstruction, civil engineering and building products']",['Australia']
242,https://modernslaveryregister.gov.au/statements/242/,3/12/2020 15:52,['SUMITOMO AUSTRALIA PTY LTD (81 000 371 497)'],150-200M,['Other'],['Australia']
254,https://modernslaveryregister.gov.au/statements/254/,26/11/2020 17:46,['ARROTEX HOLDINGS PTY LTD (47 630 331 814)'],Unknown,['Healthcare and pharmaceuticals'],['Australia']
259,https://modernslaveryregister.gov.au/statements/259/,26/11/2020 17:50,['HP PPS AUSTRALIA PTY LTD (16 603 480 628)'],450-500M,['Information technology and telecommunication'],['United States of America']
261,https://modernslaveryregister.gov.au/statements/261/,26/11/2020 17:40,['ISPT Core Fund'],500-600M,"['Financial, insurance and real estate activities']",['Australia']
262,https://modernslaveryregister.gov.au/statements/262/,26/11/2020 17:40,['BIG BEN HOLDINGS PTY. LIMITED (63 008 434 562)'],450-500M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
265,https://modernslaveryregister.gov.au/statements/265/,26/11/2020 17:36,['The Trustee for Edwards O Trust & Others (11 247 365 823)'],1BN+,"['Utilities: gas, water and electricity']",['Australia']
268,https://modernslaveryregister.gov.au/statements/268/,26/11/2020 17:32,['SIGMA HEALTHCARE LIMITED (15 088 417 403)'],Unknown,['Healthcare and pharmaceuticals'],['Australia']
272,https://modernslaveryregister.gov.au/statements/272/,26/11/2020 17:50,"['Ashurst Australia (75 304 286 095), Ashurst Australia Services Pty. Limited (45 001 687 618), Ashurst Business Services Limited, Ashurst LLP']",1BN+,"['Professional and administrative services and supplies, including legal, consulting and accounting services']","['Australia, United Kingdom']"
276,https://modernslaveryregister.gov.au/statements/276/,19/03/2021 13:56,['CRAWFORD & COMPANY (AUSTRALIA) PTY. LTD. (11 002 317 133)'],0-99M,"['Financial, insurance and real estate activities']",['Australia']
277,https://modernslaveryregister.gov.au/statements/277/,26/11/2020 17:43,"['AFFINITY HEALTH PTY LIMITED (53 106 722 347), AH Holdings Health Care Pty Limited (36 115 549 230), Alpha Healthcare Pty Limited (74 000 727 882), ALPHA WESTMEAD PRIVATE HOSPITAL PTY LIMITED (99 083 874 597), AME Hospitals Pty Limited, AME Properties Pty Limited, AUSTRALIAN HOSPITAL CARE (PINDARA) PTY. LTD. (51 005 288 095), AUSTRALIAN HOSPITAL CARE PTY LIMITED (67 072 273 931), AUSTRALIAN MEDICAL ENTERPRISES PTY LIMITED (88 053 639 160), BENCHMARK HEALTHCARE HOLDINGS PTY LIMITED (34 084 168 276), BENCHMARK HEALTHCARE PTY LTD (47 058 174 619), Benchmark - Peninsula Pty Limited, Benchmark - Surrey Pty Limited, C&P Hospitals Holdings Pty Limited (16 106 722 570), HCOA HOSPITAL HOLDINGS (AUSTRALIA) PTY LIMITED (84 079 097 528), HCOA OPERATIONS (AUSTRALIA) PTY LIMITED (85 083 035 661), HEALTH CARE CORPORATION PTY LTD (91 000 392 101), HOSPITAL CORPORATION AUSTRALIA PTY LTD (48 000 935 946), Joondalup Hospital Pty Limited (61 106 723 193), NORTH SHORE PRIVATE HOSPITAL PTY LIMITED (67 059 183 596), RAMSAY CENTAURI PTY LIMITED (77 096 070 156), RAMSAY HEALTH CARE AUSTRALIA PTY LIMITED (36 003 184 889), Ramsay Health Care Investments Pty Limited (44 078 881 473), RAMSAY HEALTH CARE LIMITED (57 001 288 768), THE BENCHMARK HOSPITAL GROUP PTY. LTD. (61 005 437 169), The Trustee for AME PROPERTY TRUST (36 529 022 683), The Trustee for AME TRUST (92 172 305 738), The Trustee for PENINSULA HOSPITAL UNIT TRUST (45 961 711 618)']",1BN+,['Healthcare and pharmaceuticals'],['Australia']
279,https://modernslaveryregister.gov.au/statements/279/,27/11/2020 8:53,['FUJITSU GENERAL (AUST.) PTY LIMITED (55 001 229 554)'],250-300M,"['Durable consumer goods, including electronics and appliances, home furnishings and other accessories']",['Japan']
285,https://modernslaveryregister.gov.au/statements/285/,26/11/2020 17:39,['LENOVO (AUSTRALIA & NEW ZEALAND) PTY LIMITED (70 112 394 411)'],800-900M,"['Durable consumer goods, including electronics and appliances, home furnishings and other accessories\nInformation technology and telecommunication']",['Hong Kong']
286,https://modernslaveryregister.gov.au/statements/286/,26/11/2020 17:51,"['EXCHANGE HOUSE SERVICES AUSTRALIA PTY LTD (75 091 861 835), HERBERT SMITH FREEHILLS (98 773 882 646)']",700-800M,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
288,https://modernslaveryregister.gov.au/statements/288/,26/11/2020 17:43,"['TJX AUSTRALIA HOLDING COMPANY PTY LIMITED (58 605 889 843), TJX AUSTRALIA PTY LIMITED (73 000 171 764)']",700-800M,"['Fashion, textiles, apparel and luxury goods']",['Australia']
290,https://modernslaveryregister.gov.au/statements/290/,27/11/2020 9:04,['THE VICTORIAN INDEPENDENT SCHOOLS SUPERANNUATION FUND (37 024 873 660)'],150-200M,"['Financial, insurance and real estate activities']",['Australia']
291,https://modernslaveryregister.gov.au/statements/291/,28/01/2021 11:43,['SUMISHO COAL AUSTRALIA HOLDINGS PTY LTD (71 057 890 865)'],350-400M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
293,https://modernslaveryregister.gov.au/statements/293/,28/01/2021 11:42,['SUMISHO COAL AUSTRALIA PTY LIMITED (30 061 524 249)'],150-200M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
295,https://modernslaveryregister.gov.au/statements/295/,26/11/2020 17:51,['QUEENSLAND NITRATES PTY LTD (63 079 889 268)'],150-200M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
296,https://modernslaveryregister.gov.au/statements/296/,26/11/2020 17:52,['VMWARE AUSTRALIA PTY LTD (77 122 677 089)'],Unknown,['Information technology and telecommunication'],['Australia']
302,https://modernslaveryregister.gov.au/statements/302/,26/11/2020 17:52,"['BUNDABERG BREWED DRINKS PTY LTD (40 009 781 953), BUNDABERG BREWED DRINKS PTY LTD (40 009 781 953)']",300-350M,"['Food and beverages, agriculture and fishing']",['Australia']
303,https://modernslaveryregister.gov.au/statements/303/,26/11/2020 17:52,['Bis Industries Holdings Limited'],450-500M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
304,https://modernslaveryregister.gov.au/statements/304/,26/11/2020 17:56,['CHARTERED ACCOUNTANTS AUSTRALIA AND NEW ZEALAND (50 084 642 571)'],100-150M,"['Professional and administrative services and supplies, including legal, consulting and accounting services\nEducation and research']",['Australia']
305,https://modernslaveryregister.gov.au/statements/305/,22/12/2020 16:46,['LIEBHERR-AUSTRALIA PTY. LTD. (65 007 970 452)'],700-800M,"['Automotive, machinery and heavy electrical equipment']",['Switzerland']
306,https://modernslaveryregister.gov.au/statements/306/,26/11/2020 17:53,['BRP AUSTRALIA PTY LTD (64 097 370 100)'],Unknown,"['Automotive, machinery and heavy electrical equipment']",['Australia']
308,https://modernslaveryregister.gov.au/statements/308/,26/11/2020 17:36,['JOHNS LYNG GROUP LIMITED (86 620 466 248)'],450-500M,"['Construction, civil engineering and building products\nCleaning and security services']",['Australia']
314,https://modernslaveryregister.gov.au/statements/314/,22/12/2020 16:28,['TECH DATA ADVANCED SOLUTIONS (ANZ) LIMITED (77 107 656 833)'],200-250M,['Information technology and telecommunication'],['United States of America']
320,https://modernslaveryregister.gov.au/statements/320/,26/11/2020 17:53,"['PVH BRANDS AUSTRALIA PTY LIMITED (15 165 485 290), SUNSHINE A PTY LTD (86 631 684 770)']",Unknown,"['Fashion, textiles, apparel and luxury goods']",['United States of America']
321,https://modernslaveryregister.gov.au/statements/321/,27/11/2020 8:59,['ELECTRONICS BOUTIQUE AUSTRALIA PTY LIMITED (50 077 681 442)'],Unknown,['Other'],['Australia']
322,https://modernslaveryregister.gov.au/statements/322/,26/11/2020 17:53,['AUSTRALIAN HEALTH & NUTRITION ASSOCIATION LIMITED (63 096 452 872)'],350-400M,"['Food and beverages, agriculture and fishing']",['Australia']
325,https://modernslaveryregister.gov.au/statements/325/,26/11/2020 17:54,['NEXT ATHLEISURE PTY. LIMITED (47 083 404 424)'],100-150M,"['Fashion, textiles, apparel and luxury goods']",['Australia']
332,https://modernslaveryregister.gov.au/statements/332/,26/11/2020 17:40,['NOVA AEROSPACE PROPRIETARY LIMITED (11 090 818 214)'],200-250M,"['Professional and administrative services and supplies, including legal, consulting and accounting services\nDefence and aerospace']",['Australia']
333,https://modernslaveryregister.gov.au/statements/333/,26/11/2020 17:54,"['ALS INDUSTRIAL AUSTRALIA PTY LTD (50 126 728 103), ALS LIMITED (92 009 657 489), AUSTRALIAN LABORATORY SERVICES PTY. LTD. (84 009 936 029)']",1BN+,['Other'],['Australia']
334,https://modernslaveryregister.gov.au/statements/334/,22/12/2020 16:27,['LOWES - MANHATTAN PTY LTD (31 000 307 666)'],Unknown,"['Fashion, textiles, apparel and luxury goods']",['Australia']
341,https://modernslaveryregister.gov.au/statements/341/,25/02/2021 14:04,['CENTURY YUASA BATTERIES PTY. LIMITED (66 009 685 232)'],250-300M,"['Automotive, machinery and heavy electrical equipment']",['Australia']
342,https://modernslaveryregister.gov.au/statements/342/,26/11/2020 17:48,['THE INFORMATION MANAGEMENT GROUP PTY LTD (52 079 782 666)'],100-150M,"['Waste management and recycling\nTransportation, logistics, and storage']",['Australia']
343,https://modernslaveryregister.gov.au/statements/343/,26/11/2020 17:54,['MFS Logistics Pty Limited (31 125 320 658)'],Unknown,"['Transportation, logistics, and storage']",['New Zealand']
344,https://modernslaveryregister.gov.au/statements/344/,26/11/2020 17:54,['ALLIED PINNACLE PTY LIMITED (85 161 203 005)'],800-900M,"['Food and beverages, agriculture and fishing']",['Australia']
345,https://modernslaveryregister.gov.au/statements/345/,26/11/2020 17:55,['WESTERN HEALTH (61 166 735 672)'],900M-1BN,['Healthcare and pharmaceuticals'],['Australia']
348,https://modernslaveryregister.gov.au/statements/348/,26/11/2020 17:55,"['ABT ASSOCIATES AUSTRALIA PTY LTD (72 161 695 156), ABT ASSOCIATES PTY LTD (76 091 591 294), ABT GROUP AUSTRALIA PTY LTD (59 120 662 026), ABT HOLDINGS AUSTRALIA PTY LTD (48 129 332 681)']",100-150M,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
350,https://modernslaveryregister.gov.au/statements/350/,26/11/2020 17:55,['LOYALTY PACIFIC PTY LTD (82 057 931 334)'],250-300M,['Other'],['Australia']
357,https://modernslaveryregister.gov.au/statements/357/,26/11/2020 17:40,['SANDVIK MINING AND CONSTRUCTION AUSTRALIA PTY LTD (62 003 771 382)'],Unknown,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
358,https://modernslaveryregister.gov.au/statements/358/,26/11/2020 17:40,['CAPRICORN SOCIETY LIMITED (29 008 347 313)'],Unknown,"['Financial, insurance and real estate activities']",['Australia']
360,https://modernslaveryregister.gov.au/statements/360/,26/11/2020 17:49,['TREASURY WINE ESTATES LIMITED (24 004 373 862)'],1BN+,"['Food and beverages, agriculture and fishing']",['Australia']
363,https://modernslaveryregister.gov.au/statements/363/,26/11/2020 17:44,['NATIONAL PUMP & ENERGY PTY LTD (83 098 812 492)'],100-150M,"['Mining, metals, chemicals and resources (including oil and gas)\nConstruction, civil engineering and building products\nOther']",['Australia']
371,https://modernslaveryregister.gov.au/statements/371/,26/11/2020 17:55,"['EPWORTH ARTS FOUNDATION LIMITED (62 606 612 220), EPWORTH CLARENDON LTD. (32 141 881 129), EPWORTH FOUNDATION (97 420 694 950), EPWORTH MEDICAL FOUNDATION LIMITED (59 135 483 055), EPWORTH MEDICAL IMAGING PTY LTD (93 166 479 116)']",900M-1BN,['Healthcare and pharmaceuticals'],['Australia']
