IDX,PeriodStart,PeriodEnd,Type,HeadquarteredCountries,AnnualRevenue,ReportingEntities,IncludedEntities,ABN,ACN,ARBN,Link,IndustrySectors,RelatedStatements
2023-3280,2022-07-01,2023-06-30,Joint,Australia,1BN+,INDUSTRY SUPER HOLDINGS PTY. LTD. (71 119 748 060),"INDUSTRY FUND SERVICES LIMITED (54 007 016 195), INDUSTRY SUPER AUSTRALIA PTY LTD (72 158 563 270), THE NEW DAILY PTY LTD (29 153 137 243)","54007016195, 72158563270, 71119748060, 29153137243",,,https://modernslaveryregister.gov.au/statements/16183/,"Financial, insurance and real estate activities","2024-2677, 2023-201, 2021-3277, 2021-456"
2023-3118,2022-07-01,2023-06-30,Joint,Australia,200-250M,"Jackaroo Capital Pty Ltd (87 644 822 980), Percy Street Pty Ltd (83 644 820 020), R.M. Williams Australia Holdings Pty Ltd (61 163 636 682), R.M. Williams Holdings Pty Ltd (28 163 626 382), R.M. Williams Proprietary Limited (17 007 527 166)",,"87644822980, 83644820020, 61163636682, 28163626382, 17007527166",,,https://modernslaveryregister.gov.au/statements/16167/,"Fashion, textiles, apparel and luxury goods","2024-2846, 2024-2486, 2022-2976, 2021-4077, 2021-2490"
2023-3279,2022-07-01,2023-06-30,Joint,Australia,1BN+,"IFM HOLDINGS PTY LTD, IFM INVESTORS PTY LTD (67 107 247 727)","IFM Asia‐Pac Debt Fund GP S.à r.l., IFM FIDUCIARY NO. 2 PTY LTD (43 158 365 505), IFM FIDUCIARY PTY LTD, IFM Global Infrastructure (Canada) GP Inc., IFM Global Infrastructure Debt GP S.à r.l., IFM Global Infrastructure (UK) GP Ltd, IFM Global Infrastructure (US 2) GP, LLC, IFM Global Infrastructure (US) GP, LLC, IFM GROWTH PARTNERS GP PTY LTD (98 638 099 662), IFM GROWTH PARTNERS SERVICES A PTY LTD (73 644 685 665), IFM GROWTH PARTNERS SERVICES B PTY LTD (80 644 684 444), IFM Infrastructure (UK) General Partner, LLP, IFM Investors (HK) Ltd, IFM Investors (Japan), LLC, IFM INVESTORS (JAPAN) PTY LTD (23 166 271 889), IFM Investors (Korea) Pty Ltd, IFM Investors (Netherlands) B.V., IFM INVESTORS (NOMINEES) LIMITED (56 003 969 891), IFM Investors Poland sp. z.o.o, IFM Investors (Switzerland) GmbH, IFM Investors (UK) Ltd, IFM Investors (US) Advisor, LLC, IFM Investors (US), LLC, IFM Net Zero Infrastructure GP S.à r.l., IFM Private Equity (US) GP, LLC, IFM (US) Securities, LLC","43158365505, 98638099662, 73644685665, 80644684444, 23166271889, 56003969891, 67107247727","135450618, 135448225, 618285126",,https://modernslaveryregister.gov.au/statements/16143/,"Financial, insurance and real estate activities","2024-2677, 2024-2676, 2022-2179, 2021-3189, 2021-561"
2023-2869,2022-07-01,2023-06-30,Single,Australia,1BN+,Johns Lyng Group Ltd (86 260 466 248),,86260466248,,,https://modernslaveryregister.gov.au/statements/16081/,"Construction, civil engineering and building products
Cleaning and security services",
2023-2952,2022-07-01,2023-06-30,Joint,Australia,100-150M,ISPT PTY LTD (28 064 041 283),"The Trustee for INDUSTRY SUPERANNUATION PROPERTY TRUST NO 1 (15 421 756 611), The Trustee for INDUSTRY SUPERANNUATION PROPERTY TRUST NO.2 (70 014 228 200), THE TRUSTEE FOR ISPT RETAIL AUSTRALIA PROPERTY TRUST NO. 1 (19 915 864 713), THE TRUSTEE FOR ISPT RETAIL AUSTRALIA PROPERTY TRUST NO.2 (28 500 856 760)","28064041283, 15421756611, 70014228200, 19915864713, 28500856760",,,https://modernslaveryregister.gov.au/statements/15917/,"Financial, insurance and real estate activities","2024-2613, 2022-2018"
2023-3022,2022-01-30,2023-01-29,Joint,"Australia, United Kingdom",500-600M,"JD SPORTS FASHION AUSTRALIA PTY LTD (63 614 310 075), JD SPORTS FASHION HOLDINGS AUSTRALIA PTY LTD (15 614 248 332)",JD SPORTS FASHION AUSTRALIA PTY LTD (63 614 310 075),"63614310075, 63614310075, 15614248332",,,https://modernslaveryregister.gov.au/statements/15904/,"Fashion, textiles, apparel and luxury goods","2025-346, 2022-1549, 2021-2549, 2020-141"
2023-3426,2020-01-01,2020-12-31,Single,India,250-300M,ITC INFOTECH INDIA LIMITED,,,,144614924,https://modernslaveryregister.gov.au/statements/15633/,Information technology and telecommunication,2024-1599
2023-2330,2022-07-01,2023-06-30,Single,Australia,450-500M,JAYBRO GROUP PTY LTD. (48 159 122 488),,48159122488,,,https://modernslaveryregister.gov.au/statements/15364/,"Construction, civil engineering and building products","2022-2481, 2021-3227, 2021-663"
2023-1850,2023-01-01,2023-12-31,Single,Australia,0-99M,IFAS SECURITY PTY LTD (80 631 971 483),,80631971483,,,https://modernslaveryregister.gov.au/statements/14691/,"Construction, civil engineering and building products
Cleaning and security services",
2024-8,2022-07-01,2023-06-30,Joint,Australia,500-600M,"Lovisa Australia Pty Ltd, LOVISA HOLDINGS LIMITED (34 602 304 503), LOVISA PTY LIMITED (62 120 675 890)","Lovisa Australia Pty Ltd, LOVISA HOLDINGS LIMITED (34 602 304 503), LOVISA PTY LIMITED (62 120 675 890)","34602304503, 34602304503, 62120675890, 62120675890",,,https://modernslaveryregister.gov.au/statements/16720/,"Fashion, textiles, apparel and luxury goods","2024-3632, 2022-3074, 2021-4130, 2021-1090"
2023-3409,2022-07-01,2023-06-30,Joint,United States of America,150-200M,"Keypath Education International, Inc.","KEYPATH EDUCATION AUSTRALIA PTY LTD, Keypath Education Canada, Inc., Keypath Education Holdings, LLC, Keypath Education, LLC, Keypath Education Malaysia Sdn. Bhd., Keypath Education Singapore Pte Ltd, Keypath Education UK, Ltd.",,168643730,649711026,https://modernslaveryregister.gov.au/statements/16700/,"Information technology and telecommunication
Education and research",
2023-3390,2022-07-01,2023-06-30,Joint,Australia,1BN+,LINFOX PROPRIETARY LIMITED (59 004 667 298),"Linfox Armaguard Pty Ltd (83 099 701 872), LINFOX AUSTRALIA PTY LTD (47 004 718 647), LINFOX INTERNATIONAL GROUP PTY LTD (79 058 015 544)","83099701872, 47004718647, 79058015544, 59004667298",,,https://modernslaveryregister.gov.au/statements/16674/,"Transportation, logistics, and storage","2024-3530, 2023-1, 2021-4156, 2021-1314"
2023-3396,2022-07-01,2023-06-30,Single,Australia,200-250M,KEVIN MURPHY GROUP PTY. LTD.,,,122518361,,https://modernslaveryregister.gov.au/statements/16654/,Cosmetics and toiletries,
2023-3343,2022-07-01,2023-06-30,Joint,Australia,150-200M,LORNA JANE PTY LTD (91 065 384 616),"LJ GP No 1 Pty Limited, LJ GP No 2 Pty Limited., LJ USA General Partnership, LJ USA Holdings Inc, Lorna Jane B.V, LORNA JANE GOLD COAST PTY LTD (48 067 082 188), Lorna Jane Hong Kong Ltd, Lorna Jane Limited (CAD), Lorna Jane New Zealand Ltd, LORNA JANE REWARDS PTY LIMITED (74 166 344 501), Lorna Jane USA, Inc, Move Nourish Believe Pte Limited, Move Nourish Believe (UK) Limited, Run Girl Run (Shenzhen) Co. Limited","48067082188, 91065384616, 74166344501","154258894, 154258901",,https://modernslaveryregister.gov.au/statements/16622/,"Fashion, textiles, apparel and luxury goods","2024-3287, 2022-2756, 2021-4165, 2021-942"
2023-3300,2022-07-01,2023-06-30,Joint,Australia,200-250M,SHAVER SHOP GROUP LIMITED (78 150 747 649),"Lavomer Riah Pty Ltd, SHAVER SHOP PTY. LTD. (86 092 829 019)","78150747649, 86092829019",150747676,,https://modernslaveryregister.gov.au/statements/16578/,"Durable consumer goods, including electronics and appliances, home furnishings and other accessories
Cosmetics and toiletries","2024-3506, 2022-3046, 2021-4109, 2021-894"
2023-3299,2022-07-01,2023-06-30,Joint,Australia,150-200M,"LAURENT BAKERY GROUP PTY LTD (27 652 749 829), LAURENT BAKERY RETAIL PTY LTD (48 652 749 918), PROVENCE GROUP HOLDINGS PTY LTD","PROVENCE BIDCO PTY LTD, PROVENCE FINCO PTY LTD, PROVENCE MIDCO PTY LTD","27652749829, 48652749918","650524100, 650521761, 650515549, 650517909",,https://modernslaveryregister.gov.au/statements/16577/,"Food and beverages, agriculture and fishing","2024-3609, 2022-2998"
2023-3270,2022-07-01,2023-06-30,Single,Australia,100-150M,LINK WENTWORTH HOUSING LIMITED (62 003 084 928),,62003084928,,,https://modernslaveryregister.gov.au/statements/16545/,Charitable / not-for-profit activities,"2024-3288, 2022-3000"
2023-3253,2022-07-01,2023-06-30,Joint,Australia,600-700M,LINDSAY AUSTRALIA LIMITED (81 061 642 733),"LINDSAY FRESH LOGISTICS PTY LTD (90 600 103 142), LINDSAY RURAL PTY LTD (80 090 821 300), LINDSAY TRANSPORT PTY LTD (62 055 792 919)","81061642733, 90600103142, 80090821300, 62055792919",,,https://modernslaveryregister.gov.au/statements/16529/,"Transportation, logistics, and storage","2025-152, 2022-2955, 2021-2913"
2023-3243,2022-07-01,2023-06-30,Joint,Australia,100-150M,"LAND SERVICES WA EMPLOYEE PTY LIMITED, LAND SERVICES WA HOLDINGS PTY LIMITED, LAND SERVICES WA OPERATING PTY LIMITED, SUMMER FINANCE COMPANY PTY LIMITED","LAND SERVICES WA EMPLOYEE PTY LIMITED, LAND SERVICES WA HOLDINGS PTY LIMITED, LAND SERVICES WA OPERATING PTY LIMITED, SUMMER FINANCE COMPANY PTY LIMITED",,"635080581, 635080581, 635079873, 635079873, 635080232, 635080232, 634670296, 634670296",,https://modernslaveryregister.gov.au/statements/16514/,Information technology and telecommunication,2024-2657
2023-3208,2022-07-01,2023-06-30,Single,Australia,1BN+,LOAN MARKET GROUP PTY LTD (83 105 221 967),,83105221967,,,https://modernslaveryregister.gov.au/statements/16403/,"Financial, insurance and real estate activities","2024-3333, 2022-3124, 2022-17"
2023-3124,2022-07-01,2023-06-30,Joint,Australia,1BN+,LIBERTY FINANCIAL GROUP LIMITED (59 125 611 574),LIBERTY FIDUCIARY LTD (80 119 884 623),"80119884623, 59125611574",,,https://modernslaveryregister.gov.au/statements/16388/,"Financial, insurance and real estate activities","2024-3468, 2022-2999, 2021-3560"
2023-3113,2022-07-01,2023-06-30,Single,Australia,150-200M,LEAKES ROAD ROCKBANK PTY LTD (93 122 773 924),,93122773924,,,https://modernslaveryregister.gov.au/statements/16384/,"Construction, civil engineering and building products
Financial, insurance and real estate activities","2024-3046, 2022-2978, 2022-510"
2023-3104,2022-07-01,2023-06-30,Joint,Australia,150-200M,"Knight Frank Australia Holdings Pty Ltd (28 114 923 938), KNIGHT FRANK AUSTRALIA PTY LTD (17 004 973 684)","Knight Frank Licensing Pty Ltd (11 103 147 191), KNIGHT FRANK NSW VALUATIONS AND ADVISORY PTY LTD (48 631 678 503), KNIGHT FRANK OCCUPIER SERVICES PTY LTD (34 116 268 565)","28114923938, 17004973684, 11103147191, 48631678503, 34116268565",,,https://modernslaveryregister.gov.au/statements/16372/,"Financial, insurance and real estate activities","2024-2964, 2022-2709, 2021-3577, 2021-1011"
2023-3095,2022-07-01,2023-06-30,Joint,Australia,250-300M,KIN POWER GROUP PTY LTD,"PROGRESSIVE GREEN PTY LTD, UTILACOR PTY LTD",,"623522467, 130175343, 077006850",,https://modernslaveryregister.gov.au/statements/16364/,"Utilities: gas, water and electricity",2024-3476
2023-3079,2022-07-01,2023-06-30,Joint,Australia,250-300M,MONASH HEALTH (82 142 080 338),KITAYA HOLDINGS PTY. LTD. (49 006 610 368),"49006610368, 82142080338",,,https://modernslaveryregister.gov.au/statements/16345/,Healthcare and pharmaceuticals,"2024-3587, 2022-2297, 2021-4215"
2023-3050,2022-07-01,2023-06-30,Joint,Australia,1BN+,"LENDLEASE (BATMAN'S HILL) PTY LIMITED (34 147 913 219), LENDLEASE COMMUNITIES (SPRINGFIELD) PTY LIMITED (19 087 876 864), LENDLEASE COMMUNITIES (YARRABILBA) PTY LIMITED (69 103 578 436), LENDLEASE CONSTRUCTION (AUST) HOLDINGS PTY LIMITED (50 007 520 381), LENDLEASE CONSTRUCTION INTERNATIONAL PTY LIMITED (86 609 215 732), LENDLEASE CONSTRUCTION PTY LIMITED (97 000 098 162), LENDLEASE CONSTRUCTION (SOUTHERN) PTY LIMITED (56 002 625 130), LENDLEASE CORPORATION LIMITED (32 000 226 228), LENDLEASE DEVELOPMENT PTY LIMITED (33 000 311 277), LENDLEASE INVESTMENT MANAGEMENT (AUSTRALIA) PTY LIMITED (64 068 103 659), LENDLEASE MELBOURNE METRO PTY LIMITED (24 639 377 030)","LENDLEASE COMMUNITIES (SPRINGFIELD) PTY LIMITED (19 087 876 864), LENDLEASE INVESTMENT MANAGEMENT (AUSTRALIA) PTY LIMITED (64 068 103 659)","34147913219, 19087876864, 19087876864, 69103578436, 50007520381, 86609215732, 97000098162, 56002625130, 32000226228, 33000311277, 64068103659, 64068103659, 24639377030",,,https://modernslaveryregister.gov.au/statements/16306/,"Financial, insurance and real estate activities","2024-3213, 2022-2291, 2021-3659, 2020-330"
2023-3040,2022-07-01,2023-06-30,Joint,Australia,150-200M,THE TRUSTEE FOR LENDLEASE ONE INTERNATIONAL TOWERS SYDNEY TRUST (39 370 835 502),Lendlease One International Towers Sydney Trust Sub Trust,39370835502,,,https://modernslaveryregister.gov.au/statements/16298/,"Financial, insurance and real estate activities","2024-3163, 2022-2680, 2021-4000, 2021-1201"
2023-3039,2022-07-01,2023-06-30,Joint,Australia,200-250M,The Trustee for LEND LEASE INTERNATIONAL TOWERS SYDNEY TRUST (85 972 565 760),"LLITST Stage 1 Sub-Trust (LLITST Sub-Trust 1), LLITST Stage 2 Sub-Trust (LLITST Sub-Trust 2)",85972565760,,,https://modernslaveryregister.gov.au/statements/16297/,"Financial, insurance and real estate activities","2024-3163, 2022-2679, 2021-3999, 2021-1200"
2023-3038,2022-07-01,2023-06-30,Single,Australia,350-400M,L1 LONG SHORT FUND LIMITED,,,623418539,,https://modernslaveryregister.gov.au/statements/16292/,"Financial, insurance and real estate activities",
2023-3016,2022-07-01,2023-06-30,Single,Australia,500-600M,LATROBE REGIONAL HEALTH (18 128 843 652),,18128843652,,,https://modernslaveryregister.gov.au/statements/16275/,Healthcare and pharmaceuticals,"2024-3072, 2022-2835, 2021-3157, 2021-1769"
2023-3365,2022-07-01,2023-06-30,Single,Australia,150-200M,LEGEND CORPORATION PTY LTD (69 102 631 087),,69102631087,,,https://modernslaveryregister.gov.au/statements/16225/,"Durable consumer goods, including electronics and appliances, home furnishings and other accessories
Construction, civil engineering and building products
Information technology and telecommunication","2024-2649, 2022-2701, 2022-190, 2021-422"
2023-2882,2022-07-01,2023-06-30,Single,Australia,250-300M,LOWES - MANHATTAN PTY LTD (31 000 307 666),,31000307666,,,https://modernslaveryregister.gov.au/statements/16108/,"Fashion, textiles, apparel and luxury goods","2024-3440, 2022-2914, 2022-501, 2021-4139, 2020-111"
